Fold,Classifier,Accuracy,Macro F1,High Risk Recall,Brier Score
1,Logistic Regression,0.6354679802955665,0.6230067578382185,0.7636363636363637,0.46737223382180504
1,Random Forest,0.8669950738916257,0.8714285714285714,0.9454545454545454,0.18448101973483808
1,Support Vector Machine,0.7093596059113301,0.704067704067704,0.8545454545454545,0.41895496839291557
1,XGBoost,0.8866995073891626,0.8898303220306355,0.9818181818181818,0.16384559101209198
2,Logistic Regression,0.6551724137931034,0.6408146591970121,0.7090909090909091,0.45462316731268576
2,Random Forest,0.8423645320197044,0.8470493777599358,0.8727272727272727,0.2128989303137069
2,Support Vector Machine,0.7093596059113301,0.703229754538655,0.8181818181818182,0.3976340967720059
2,XGBoost,0.8472906403940886,0.8482812878237714,0.8727272727272727,0.19579867996020917
3,Logistic Regression,0.5665024630541872,0.5591797349999212,0.6481481481481481,0.5238285329520347
3,Random Forest,0.8423645320197044,0.8453301127214171,0.8888888888888888,0.259565722072227
3,Support Vector Machine,0.6502463054187192,0.6289681686844807,0.7592592592592593,0.48340048466969865
3,XGBoost,0.8275862068965517,0.831363184947837,0.8703703703703703,0.26638459946326903
4,Logistic Regression,0.6305418719211823,0.6272359448830037,0.7407407407407407,0.4665924838051533
4,Random Forest,0.8275862068965517,0.8361667172176727,0.8888888888888888,0.25217685586923405
4,Support Vector Machine,0.7389162561576355,0.7395967599262011,0.8703703703703703,0.3944492242113741
4,XGBoost,0.8226600985221675,0.8317025440313112,0.8888888888888888,0.2632941154065637
5,Logistic Regression,0.599009900990099,0.5729486189267718,0.7222222222222222,0.47700622833927164
5,Random Forest,0.8762376237623762,0.8805901999746334,0.9444444444444444,0.17707899276117994
5,Support Vector Machine,0.693069306930693,0.6753134380795592,0.8703703703703703,0.40821943070433764
5,XGBoost,0.8861386138613861,0.8919202684704347,0.9444444444444444,0.1669579045041837
