Fold,Seed,Tier,Classifier,BP_Noise_mmHg,Missing_Rate_Target,Actual_Missing_Rate,Temp_Bias_Low,Temp_Bias_High,Accuracy,Macro F1,High Risk Recall,Brier Score
1,N/A,Pristine Baseline,Logistic Regression,0.0,0.0,0.0,0.0,0.0,0.6354679802955665,0.6230067578382185,0.7636363636363637,0.46737223382180504
1,N/A,Pristine Baseline,Random Forest,0.0,0.0,0.0,0.0,0.0,0.8669950738916257,0.8714285714285714,0.9454545454545454,0.18448101973483808
1,N/A,Pristine Baseline,Support Vector Machine,0.0,0.0,0.0,0.0,0.0,0.7093596059113301,0.704067704067704,0.8545454545454545,0.41895496839291557
1,N/A,Pristine Baseline,XGBoost,0.0,0.0,0.0,0.0,0.0,0.8866995073891626,0.8898303220306355,0.9818181818181818,0.16384559101209198
1,11,Tier 1 (Mild),Logistic Regression,5.0,0.05,0.0468,-0.5,-0.1,0.6157635467980296,0.6026346741943072,0.7090909090909091,0.48207213557423817
1,11,Tier 1 (Mild),Random Forest,5.0,0.05,0.0468,-0.5,-0.1,0.8472906403940886,0.8479742084602525,0.9090909090909091,0.22208113117765704
1,11,Tier 1 (Mild),Support Vector Machine,5.0,0.05,0.0468,-0.5,-0.1,0.7044334975369458,0.6964970540658615,0.8181818181818182,0.4474405565514251
1,11,Tier 1 (Mild),XGBoost,5.0,0.05,0.0468,-0.5,-0.1,0.7931034482758621,0.7931929678271142,0.9090909090909091,0.2899035698224518
1,22,Tier 1 (Mild),Logistic Regression,5.0,0.05,0.0657,-0.5,-0.1,0.6305418719211823,0.6192768491619066,0.7272727272727273,0.48695536448482113
1,22,Tier 1 (Mild),Random Forest,5.0,0.05,0.0657,-0.5,-0.1,0.7783251231527094,0.7847027862131347,0.8727272727272727,0.2769478107486386
1,22,Tier 1 (Mild),Support Vector Machine,5.0,0.05,0.0657,-0.5,-0.1,0.6896551724137931,0.6780660377358491,0.8181818181818182,0.44723089407202476
1,22,Tier 1 (Mild),XGBoost,5.0,0.05,0.0657,-0.5,-0.1,0.7487684729064039,0.7485507246376811,0.9090909090909091,0.32873952667214795
1,33,Tier 1 (Mild),Logistic Regression,5.0,0.05,0.0624,-0.5,-0.1,0.6305418719211823,0.6229199405695237,0.7454545454545455,0.4781659896319664
