,,Accuracy,Accuracy,Macro F1,Macro F1,High Risk Recall,High Risk Recall,Brier Score,Brier Score
,,mean,std,mean,std,mean,std,mean,std
Classifier,Tier,,,,,,,,
Logistic Regression,Pristine Baseline,0.6173389260108276,0.034837667516263014,0.6046371431689854,0.03615072535254998,0.7167676767676767,0.043499155569667984,0.47788452924619007,0.026882766288736107
Logistic Regression,Tier 1 (Mild),0.6081690484319368,0.025934892501108527,0.591861529767067,0.030983710464185722,0.6594747474747474,0.05167909818159473,0.4937363174969198,0.02507494777849453
Logistic Regression,Tier 2 (Moderate),0.585007072135785,0.025007728189085345,0.5713829001524291,0.03176535395787798,0.5935151515151516,0.07014978725362318,0.5243647520957341,0.02525652747042516
Logistic Regression,Tier 3 (Severe),0.5456684387650588,0.02925226006092161,0.5350341309425949,0.03500848166256689,0.527063973063973,0.07482703860084008,0.5635129263766795,0.02712592421307914
Random Forest,Pristine Baseline,0.8511095937179924,0.019937830310888933,0.8561129958204461,0.01890749950276054,0.9080808080808079,0.03429884211383768,0.21724030415023718,0.03780526690479641
Random Forest,Tier 1 (Mild),0.8049456177144808,0.0202707322899397,0.8079388970882728,0.020660433049187535,0.8911380471380471,0.04667575927789105,0.2804713452430031,0.027043970829751105
Random Forest,Tier 2 (Moderate),0.6990235575281666,0.025722593497307284,0.6988059632457534,0.02703966157554504,0.8363905723905724,0.050691692968155025,0.40493153655866315,0.021965092362549378
Random Forest,Tier 3 (Severe),0.5863966248841632,0.02908538055676243,0.5826105828396105,0.02994068152340926,0.7673265993265993,0.0725524122593521,0.5379754252525543,0.032195009571117296
Support Vector Machine,Pristine Baseline,0.7001902160659416,0.03245367143755505,0.69023516505932,0.04114932660387684,0.8345454545454546,0.047176871938050986,0.42053164095006634,0.036438845757131536
Support Vector Machine,Tier 1 (Mild),0.685197775935229,0.03004332464593441,0.6717202920695786,0.03803982039764356,0.8004040404040405,0.050813369807704394,0.4420077855770151,0.03329539493817144
Support Vector Machine,Tier 2 (Moderate),0.6450626737550603,0.02853527555811055,0.6253344005907677,0.036286425495765384,0.7500740740740741,0.06436749946389589,0.48057341586561725,0.03011123130116711
Support Vector Machine,Tier 3 (Severe),0.5801824123299029,0.032570460089167835,0.5517775946408076,0.0394516367568495,0.6638249158249159,0.07825418570763,0.5390296630360524,0.03519863771286916
XGBoost,Pristine Baseline,0.8540750134126712,0.03093143040031547,0.8586195214607979,0.030238073898609247,0.9116498316498316,0.0493358490999859,0.21125617806926353,0.050487931284267186
XGBoost,Tier 1 (Mild),0.7665029507876896,0.028002753762735744,0.7701701291362077,0.029043765204137408,0.8617508417508418,0.05721237368181936,0.34147550764453494,0.04023928113397721
XGBoost,Tier 2 (Moderate),0.6916421987026289,0.02816094234196722,0.6928000222544182,0.029273230119496188,0.7955892255892256,0.06466050125046709,0.46712245898476346,0.040868930133657035
XGBoost,Tier 3 (Severe),0.5888621177388675,0.028759376733091757,0.5885092373304585,0.029498506944792665,0.6898181818181819,0.07653494772176817,0.6356784801711478,0.048950550495948
