Model,Feature,Mean SHAP Value,Rank
Logistic Regression,BS,0.6078015019722134,1
Logistic Regression,SystolicBP,0.42992499826058916,2
Logistic Regression,BodyTemp,0.2794931840299341,3
Logistic Regression,DiastolicBP,0.25017540342153016,4
Logistic Regression,HeartRate,0.14755285000999507,5
Logistic Regression,Age,0.08082740024820524,6
Random Forest,BS,0.1599585218290208,1
Random Forest,SystolicBP,0.08932934834809708,2
Random Forest,Age,0.056421045039844415,3
Random Forest,BodyTemp,0.0512222708883491,4
Random Forest,DiastolicBP,0.04400059834022122,5
Random Forest,HeartRate,0.038541499857484944,6
Support Vector Machine,BS,0.3003063773833008,1
Support Vector Machine,SystolicBP,0.19216354372123629,2
Support Vector Machine,BodyTemp,0.17308530571992123,3
Support Vector Machine,DiastolicBP,0.16081870479947413,4
Support Vector Machine,HeartRate,0.07685897435897444,5
Support Vector Machine,Age,0.03526084812623275,6
XGBoost,BS,1.3746654987335205,1
XGBoost,SystolicBP,0.708810567855835,2
XGBoost,Age,0.5063081383705139,3
XGBoost,BodyTemp,0.48393872380256653,4
XGBoost,HeartRate,0.3503965437412262,5
XGBoost,DiastolicBP,0.3036699593067169,6
